"","time","condition","name","value","lower","upper","iter"
"d1",0.32,"scn1","BrAC",0.219041470040524,0.14960469887225,0.297853192815446,323
"d11",0.65,"scn1","BrAC",0.477039224424173,0.365601820387895,0.581086408499593,339
"d12",0.92,"scn1","BrAC",0.721249663887256,0.582118265348258,0.867276200023404,409
"d13",1,"scn1","BrAC",0.745564108601388,0.619765486408071,0.853496867728837,312
"d14",1.17,"scn1","BrAC",0.759773103584829,0.665637518532098,0.848767179359276,142
"d15",1.33,"scn1","BrAC",0.7476717505726,0.672728911233109,0.828181645279727,92
"d16",1.5,"scn1","BrAC",0.722209261111104,0.639913940792156,0.802262247742517,242
"d17",1.75,"scn1","BrAC",0.812557975936707,0.736501998680816,0.895640373114611,71
"d18",1.83,"scn1","BrAC",0.815919081373183,0.742451429506433,0.890546091999876,77
"d19",2,"scn1","BrAC",0.804276673735516,0.733948485687919,0.875526379920556,103
"d110",2.17,"scn1","BrAC",0.778871079619753,0.706479965869098,0.851027000798369,115
"d111",2.32,"scn1","BrAC",0.751129582104903,0.681191797684084,0.823803932740575,136
"d112",2.58,"scn1","BrAC",0.69826783608561,0.633194139895963,0.769561995387714,127
"d113",3,"scn1","BrAC",0.609821090873332,0.54592355686607,0.676201647355464,81
"d114",3.5,"scn1","BrAC",0.506017811679073,0.434044195807378,0.570398844347161,119
"d115",4,"scn1","BrAC",0.40615176520967,0.327588030639937,0.475001238064084,180
"d116",4.5,"scn1","BrAC",0.311835493059885,0.232617128557941,0.386737802865956,215
"d117",5,"scn1","BrAC",0.225203148235861,0.150418080499422,0.302240827975975,191
"d118",5.5,"scn1","BrAC",0.149307777873958,0.0705636096759657,0.221454303654725,144
"d119",6,"scn1","BrAC",0.0880773841161299,-0.000977779842855783,0.148119217597886,207
"d120",6.5,"scn1","BrAC",0.0449729927984096,-0.0015069396986333,0.0905588272194606,110
"d121",7,"scn1","BrAC",0.0198929101001121,-0.0016181723713566,0.0573185288670897,97
"d122",7.5,"scn1","BrAC",0.00792646752289305,-0.00168742771253152,0.0384513703479573,88
