t,scenario,prob.mean,measurement,prob.sigma,prob.type
0.32,scn1,BrAC,0.284090909,sigma_add2,normal
0.65,scn1,BrAC,0.414772727,sigma_add2,normal
0.92,scn1,BrAC,0.619318182,sigma_add2,normal
1,scn1,BrAC,0.653409091,sigma_add2,normal
1.17,scn1,BrAC,0.710227273,sigma_add2,normal
1.33,scn1,BrAC,0.721590909,sigma_add2,normal
1.5,scn1,BrAC,0.653409091,sigma_add2,normal
1.75,scn1,BrAC,0.8125,sigma_add2,normal
1.83,scn1,BrAC,0.755681818,sigma_add2,normal
2,scn1,BrAC,0.767045455,sigma_add2,normal
2.32,scn1,BrAC,0.704545455,sigma_add2,normal
2.58,scn1,BrAC,0.556818182,sigma_add2,normal
3,scn1,BrAC,0.471590909,sigma_add2,normal
3.5,scn1,BrAC,0.386363636,sigma_add2,normal
4,scn1,BrAC,0.289772727,sigma_add2,normal
4.5,scn1,BrAC,0.1875,sigma_add2,normal
5,scn1,BrAC,0.113636364,sigma_add2,normal
5.5,scn1,BrAC,0.045454545,sigma_add2,normal
6,scn1,BrAC,0.017045455,sigma_add2,normal
