observableId	simulationConditionId	time	measurement	noiseParameters
BrAC	scn1	0.32	0.209302326	0.109302326
BrAC	scn1	0.65	0.465116279	0.174418605
BrAC	scn1	0.92	0.653488372	0.181395349
BrAC	scn1	1	0.720930233	0.162790698
BrAC	scn1	1.17	0.772093023	0.155813953
BrAC	scn1	1.33	0.779069767	0.151162791
BrAC	scn1	1.5	0.753488372	0.134883721
BrAC	scn1	1.75	0.872093023	0.148837209
BrAC	scn1	1.83	0.865116279	0.120930233
BrAC	scn1	2	0.827906977	0.097674419
BrAC	scn1	2.17	0.772093023	0.106976744
BrAC	scn1	2.32	0.720930233	0.090697674
BrAC	scn1	2.58	0.665116279	0.088372093
BrAC	scn1	3	0.593023256	0.088372093
BrAC	scn1	3.5	0.495348837	0.086046512
BrAC	scn1	4	0.409302326	0.093023256
BrAC	scn1	4.5	0.327906977	0.088372093
BrAC	scn1	5	0.241860465	0.097674419
BrAC	scn1	5.5	0.153488372	0.093023256
BrAC	scn1	6	0.088372093	0.081395349
BrAC	scn1	6.5	0.041860465	0.06744186
BrAC	scn1	7	0.018604651	0.037209302
BrAC	scn1	7.5	0.006976744	0.020930233
